experiment,theta,value,model,estimated,to_include
0,sigma1,0.0842637045824507,1,1,1
0,xi1,1.8314581264751166,1,1,1
0,psi1,0.35924846520304776,1,1,1
0,psi2,4.4054831904248095,1,1,1
0,sigma1,0.0819830744134721,2,1,1
0,xi1,1.734614429159422,2,1,1
0,psi1,-0.13331172980842318,2,1,1
0,psi2,4.960647419053645,2,1,1
